date,county,type,num,id
4/15/20,"Alameda County, California",positive,915,237
4/15/20,"Alpine County, California",positive,1,238
4/15/20,"Amador County, California",positive,7,239
4/15/20,"Butte County, California",positive,16,240
4/15/20,"Calaveras County, California",positive,11,241
4/15/20,"Colusa County, California",positive,3,242
4/15/20,"Contra Costa County, California",positive,645,243
4/15/20,"Del Norte County, California",positive,2,244
4/15/20,"El Dorado County, California",positive,35,245
4/15/20,"Fresno County, California",positive,264,246
4/15/20,"Glenn County, California",positive,4,247
4/15/20,"Humboldt County, California",positive,52,248
4/15/20,"Imperial County, California",positive,127,249
4/15/20,"Inyo County, California",positive,17,250
4/15/20,"Kern County, California",positive,553,251
4/15/20,"Kings County, California",positive,13,252
4/15/20,"Lake County, California",positive,5,253
4/15/20,"Lassen County, California",positive,0,254
4/15/20,"Los Angeles County, California",positive,10416,255
4/15/20,"Madera County, California",positive,33,256
4/15/20,"Marin County, California",positive,184,257
4/15/20,"Mariposa County, California",positive,0,258
4/15/20,"Mendocino County, California",positive,4,259
4/15/20,"Merced County, California",positive,78,260
4/15/20,"Modoc County, California",positive,0,261
4/15/20,"Mono County, California",positive,23,262
4/15/20,"Monterey County, California",positive,106,263
4/15/20,"Napa County, California",positive,38,264
4/15/20,"Nevada County, California",positive,34,265
4/15/20,"Orange County, California",positive,1377,266
4/15/20,"Placer County, California",positive,123,267
4/15/20,"Plumas County, California",positive,4,268
4/15/20,"Riverside County, California",positive,1723,269
4/15/20,"Sacramento County, California",positive,839,270
4/15/20,"San Benito County, California",positive,41,271
4/15/20,"San Bernardino County, California",positive,1063,272
4/15/20,"San Diego County, California",positive,2014,273
4/15/20,"San Francisco County, California",positive,1006,274
4/15/20,"San Joaquin County, California",positive,329,275
4/15/20,"San Luis Obispo County, California",positive,124,276
4/15/20,"San Mateo County, California",positive,707,277
4/15/20,"Santa Barbara County, California",positive,317,278
4/15/20,"Santa Clara County, California",positive,1692,279
4/15/20,"Santa Cruz County, California",positive,92,280
4/15/20,"Shasta County, California",positive,25,281
4/15/20,"Sierra County, California",positive,0,282
4/15/20,"Siskiyou County, California",positive,5,283
4/15/20,"Solano County, California",positive,153,284
4/15/20,"Sonoma County, California",positive,140,285
4/15/20,"Stanislaus County, California",positive,174,286
4/15/20,"Sutter County, California",positive,24,287
4/15/20,"Tehama County, California",positive,1,288
4/15/20,"Trinity County, California",positive,0,289
4/15/20,"Tulare County, California",positive,289,290
4/15/20,"Tuolumne County, California",positive,1,291
4/15/20,"Ventura County, California",positive,365,292
4/15/20,"Yolo County, California",positive,93,293
4/15/20,"Yuba County, California",positive,15,294
4/15/20,Unknown,positive,2,295
4/15/20,"Alameda County, California",death,37,296
4/15/20,"Alpine County, California",death,0,297
4/15/20,"Amador County, California",death,0,298
4/15/20,"Butte County, California",death,0,299
4/15/20,"Calaveras County, California",death,0,300
4/15/20,"Colusa County, California",death,0,301
4/15/20,"Contra Costa County, California",death,14,302
4/15/20,"Del Norte County, California",death,0,303
4/15/20,"El Dorado County, California",death,0,304
4/15/20,"Fresno County, California",death,7,305
4/15/20,"Glenn County, California",death,0,306
4/15/20,"Humboldt County, California",death,0,307
4/15/20,"Imperial County, California",death,3,308
